#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
71,"Pretty Lady","Rebelution",53,138,"reggae rock","Rock","Falling into Place",2016-06-03,03:39,79,62,9,0,69,0,0,-7,C♯/D♭ Major,4,2024-01-27,4d9dLobDQ4BcfNbOnSPHQC,"Easy Star",3B,https://p.scdn.co/mp3-preview/126691b87a3d6d8dc7e834d831ae6455b327606c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fa198309a491ce1f32009dc9
72,"5% TINT","Travis Scott",82,140,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,03:16,71,48,17,0,6,0,20,-5,E Minor,4,2024-01-27,11kDth1aKUEUMq9r1pqyds,"Cactus Jack / Epic",9A,https://p.scdn.co/mp3-preview/c1bcb779bca4da7d1dd96c378c42297fd410678a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
73,"I Just Threw Out The Love Of My Dreams","Weezer",70,130,"alternative rock, modern power pop, modern rock, permanent wave, rock","Rock, Pop","Pinkerton - Deluxe Edition",1996-09-24,02:37,41,97,0,0,28,10,10,-4,F#/G♭ Minor,4,2024-01-27,35SRuRfp5BvD1yArmXKNHO,"Geffen",11A,,https://i.scdn.co/image/ab67616d00004851b34530ac4a80275e3ff2faab
74,"Pasture Child","Dominic Fike",60,84,"alternative pop rock, pov: indie","Rock, Pop","Sunburn",2023-07-07,02:53,58,67,7,0,45,0,0,-6,C Minor,4,2024-01-27,5APPlPgagEAXjGLIizqSDS,"Columbia",5A,https://p.scdn.co/mp3-preview/28d52f9b07f799a8aa46952027ae499c5c2c8e36?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510fb08616c78d44ceb4c8d061
75,"Follow God","Kanye West",78,180,"chicago rap, hip hop, rap","Hip Hop","JESUS IS KING",2019-10-25,01:44,53,90,0,0,43,40,0,-4,C♯/D♭ Major,4,2024-01-27,2QpGZOhTCHHiKmpSO9FW4h,"Getting Out Our Dreams II / Def Jam Recordings",3B,,https://i.scdn.co/image/ab67616d000048511bb797bbfe2480650b6c2964
76,"Love Galore (feat. Travis Scott)","SZA,Travis Scott",81,135,"pop, r&b, rap, hip hop, slap house","Hip Hop, Pop, R&B, Electronic","Ctrl",2017-06-09,04:35,80,59,11,0,41,0,10,-6,C Major,4,2024-01-27,0q75NwOoFiARAVp4EXU4Bs,"Top Dawg Entertainment/RCA Records",8B,https://p.scdn.co/mp3-preview/e3f2a5f8e8910d69754b3d80abdeccac3df9077b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514c79d5ec52a6d0302f3add25
77,"Supersoaker","Kings of Leon",63,139,"modern rock, rock","Rock","Mechanical Bull (Expanded Edition)",2013-09-24,03:50,44,87,0,0,71,0,10,-4,A Major,4,2024-01-27,4cQIbDqCZrHknxlDUjRHZ0,"RCA/Legacy",11B,https://p.scdn.co/mp3-preview/0a4a88e2e3f43ff583aae338c0f84b01602451d9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d50b35057090d03bb0e759bc
78,"Hot Air Balloon","Don Diablo,AR/CO",71,123,"dutch house, edm, electro house, future house, pop dance, progressive electro house","Electronic","FORΞVΞR (DΞLUXΞ ΞDITION)",2021-11-05,02:53,82,71,13,53,57,0,10,-6,F#/G♭ Minor,4,2024-01-27,67p96tIoC4ESrod9kW331R,"HEXAGON",11A,https://p.scdn.co/mp3-preview/229c53e34f3f61252ab707a446bd985e2503b970?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851484d2402e2d425ac2c87ec3c
79,"Life Goes On","Lil Baby,Gunna,Lil Uzi Vert",79,140,"atl hip hop, atl trap, rap, trap, melodic rap, hip hop, philly rap, rage rap","Hip Hop","Harder Than Ever",2018-05-18,04:07,72,54,0,0,39,10,10,-8,C♯/D♭ Major,4,2024-01-27,2bSk87AVkCIIC3Bcligq1z,"Quality Control Music, LLC",3B,,https://i.scdn.co/image/ab67616d000048516cab41f8c84d6164976400d4
80,"ASTROTHUNDER","Travis Scott",80,152,"hip hop, rap, slap house","Hip Hop, Electronic","ASTROWORLD",2018-08-03,02:22,70,46,14,0,29,0,10,-8,E Minor,4,2024-01-27,4MXhiYIRDMGAuvZc5IFTwC,"Cactus Jack / Epic",9A,https://p.scdn.co/mp3-preview/7400069aa1157e71455bf45fcbf29d897287b2a2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851072e9faef2ef7b6db63834a3
81,"Had Enough (feat. Quavo & Offset)","Don Toliver,Offset,Quavo",67,148,"pop rap, rap, trap, atl hip hop, hip hop, melodic rap","Hip Hop","Heaven Or Hell",2020-03-13,02:37,75,79,26,0,67,10,10,-5,D Major,4,2024-01-27,6SPgp2qK3fb4wPX1SldrNf,"We Run It Ent./Cactus Jack/Atlantic",10B,https://p.scdn.co/mp3-preview/274ff4efbac40a5c27ced21454d90f43f51593d0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485145190a074bef3e8ce868b60c
82,"Father Stretch My Hands Pt. 1","Kanye West",90,113,"chicago rap, hip hop, rap","Hip Hop","The Life Of Pablo",2016-06-10,02:15,72,57,12,0,44,0,50,-4,G Major,4,2024-01-27,4KW1lqgSr8TKrvBII0Brf8,"Rock The World/IDJ/Kanye LP7",9B,,https://i.scdn.co/image/ab67616d000048512a7db835b912dc5014bd37f4
83,"Baby Queen","Gorillaz",62,75,"alternative hip hop, modern rock, rock","Hip Hop, Rock","Cracker Island",2023-02-24,03:40,53,86,0,38,46,0,0,-5,C Major,4,2024-01-27,3FwCEB2BNFzWQ9rn4goCXZ,"Parlophone UK",8B,https://p.scdn.co/mp3-preview/610dba877d976096756bc4277d43c194b609046d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048514b0ddebba0d5b34f2a2f07a4
84,"Pornography","Travis Scott",68,129,"hip hop, rap, slap house","Hip Hop, Electronic","Rodeo",2015-09-04,03:51,60,65,11,0,34,10,70,-6,B Major,4,2024-01-27,2QeQNF182V61Im0QpjdVta,"Cactus Jack / Epic",1B,https://p.scdn.co/mp3-preview/a4645fee1718ef8eba6ef320bb72a938f7076be7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851715973050587fe3c93033aad
85,"Stay","Post Malone",75,86,"dfw rap, melodic rap, pop, rap","Hip Hop, Pop","beerbongs & bentleys",2018-04-27,03:24,51,48,45,0,35,0,10,-5,F Major,4,2024-01-27,4H7WNRErSbONkM06blBoGc,"Republic Records",7B,,https://i.scdn.co/image/ab67616d00004851b1c4b76e23414c9f20242268
86,"Giorgio by Moroder","Daft Punk",65,113,"electro, filter house, rock","Hip Hop, Electronic, Rock","Random Access Memories",2013-05-20,09:04,74,68,7,53,41,0,30,-10,A Minor,4,2024-01-27,0oks4FnzhNp5QPTZtoet7c,"Columbia",8A,https://p.scdn.co/mp3-preview/ffbe7c12252438f212fd67000bcbd8cdc5ba4525?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519b9b36b0e22870b9f542d937
